service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
HD15V101-00-JAUNE,1,1,1,1,1,0,0,20140825,20150710
HD15H106-00-VERT,0,0,0,0,0,1,0,20140830,20150704
HD15H107-00-BLEU,0,0,0,0,0,0,1,20140831,20150705
HD15H101-00-ROSE,1,1,1,1,1,0,0,20140901,20150703
HA15V1Z1-00-JAUNE,1,1,1,1,1,0,0,20140825,20140829
HA15V1Z1-00-JAUNE-0000100,0,0,0,0,1,0,0,20140825,20140829
HA15H1Z6-00-VERT,0,0,0,0,0,1,0,20140830,20140927
HA15H107-00-BLEU,0,0,0,0,0,0,1,20140831,20150705
HA15H1Z1-00-ROSE,1,1,1,1,1,0,0,20140901,20140926
HA15H1Z1-00-ROSE-0010000,0,0,1,0,0,0,0,20140901,20140926
HA15H1Z1-00-ROSE-1101100,1,1,0,1,1,0,0,20140901,20140926
HA15H1Z1-00-ROSE-0000100,0,0,0,0,1,0,0,20140901,20140926
HA15H101-00-ROSE,1,1,1,1,1,0,0,20140929,20150703
HA15H101-00-ROSE-0010000,0,0,1,0,0,0,0,20140929,20150703
HA15H101-00-ROSE-1101100,1,1,0,1,1,0,0,20140929,20150703
HA15H106-00-VERT,0,0,0,0,0,1,0,20141004,20150704
HA15V101-00-JAUNE,1,1,1,1,1,0,0,20141110,20150710
HS15V1A1-00-JAUNE,1,1,1,1,1,0,0,20140825,20140828
HS15V101-00-JAUNE,1,1,1,1,1,0,0,20140829,20150710
HS15H106-00-VERT,0,0,0,0,0,1,0,20140830,20150704
HS15H107-00-BLEU,0,0,0,0,0,0,1,20140831,20150705
HS15H101-00-ROSE,1,1,1,1,1,0,0,20140901,20150703
HT15V1A1-00-JAUNE,1,1,1,1,1,0,0,20140825,20140828
HT15V101-00-JAUNE,1,1,1,1,1,0,0,20140829,20150710
HT15H106-00-VERT,0,0,0,0,0,1,0,20140830,20150704
HT15H107-00-BLEU,0,0,0,0,0,0,1,20140831,20150705
HT15H101-00-ROSE,1,1,1,1,1,0,0,20140901,20150703
HT15H101-00-ROSE-0000100,0,0,0,0,1,0,0,20140901,20150703
