shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
11925,47.21957076,-1.53311206,10001
11925,47.21876375,-1.53734867,10002
11925,47.21876375,-1.53734867,20001
11925,47.21786607,-1.54237439,20002
11925,47.21786607,-1.54237439,30001
11925,47.21630451,-1.54718255,30002
11925,47.21630451,-1.54718255,40001
11925,47.21630451,-1.54718255,40002
11925,47.21458128,-1.55234486,50001
11925,47.21458128,-1.55234486,50002
11925,47.21458128,-1.55234486,60001
11925,47.21458128,-1.55234486,60002
11925,47.21345774,-1.55633177,70001
11925,47.21345774,-1.55633177,70002
11925,47.21345774,-1.55633177,80001
11925,47.21345774,-1.55633177,80002
11925,47.21113791,-1.56085263,90001
11925,47.21113791,-1.56085263,90002
11925,47.21113791,-1.56085263,100001
11925,47.21113791,-1.56085263,100002
11925,47.20888420,-1.56753762,110001
11925,47.20888420,-1.56753762,110002
11925,47.20888420,-1.56753762,120001
11925,47.20707314,-1.57310986,120002
11925,47.20707314,-1.57310986,130001
11925,47.20707314,-1.57310986,130002
11925,47.20756378,-1.58178698,140001
11925,47.20756378,-1.58178698,140002
11925,47.20756378,-1.58178698,150001
11925,47.20936150,-1.58858950,150002
11925,47.20936150,-1.58858950,160001
11925,47.20936150,-1.58858950,160002
11925,47.20965051,-1.59543496,170001
11925,47.20965051,-1.59543496,170002
11925,47.20965051,-1.59543496,180001
11925,47.20965051,-1.59543496,180002
11925,47.20696314,-1.60025334,190001
11925,47.20696314,-1.60025334,190002
11925,47.20696314,-1.60025334,200001
11925,47.20478509,-1.60494753,200002
11925,47.20478509,-1.60494753,210001
11925,47.20668771,-1.60970042,210002
11925,47.20668771,-1.60970042,220001
11925,47.20871130,-1.61147014,220002
11925,47.20871130,-1.61147014,230001
11925,47.20871130,-1.61147014,230002
11925,47.21167422,-1.60900943,240001
11925,47.21167422,-1.60900943,240002
11925,47.21167422,-1.60900943,250001
11925,47.21458056,-1.60809487,250002
11925,47.21458056,-1.60809487,260001
11925,47.21458056,-1.60809487,260002
11925,47.21763767,-1.61369147,270001
11925,47.21763767,-1.61369147,270002
11925,47.21763767,-1.61369147,280001
11925,47.21909217,-1.62054777,280002
11925,47.21909217,-1.62054777,290001
11925,47.22054777,-1.62801535,290002
11925,47.22054777,-1.62801535,300001
11925,47.22145091,-1.63262894,300002
11925,47.22145091,-1.63262894,310001
11925,47.22209789,-1.63821393,310002
