stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopArea:ABDU,"Abel Durand",,47.22019369,-1.60338192,,,1,
StopArea:ABLA,"Avenue Blanche",,47.22973235,-1.58938102,,,1,
StopArea:ACHA,"Angle Chaillou",,47.26978758,-1.57207782,,,1,
StopArea:ADBO,"Audubon",,47.21409134,-1.72340027,,,1,
StopArea:ADEL,"Aimé Delrue",,47.20911263,-1.55025692,,,1,
StopArea:ADPI,"Avenue des Pins",,47.25366765,-1.59771330,,,1,
StopArea:AECL,"Aéroclub",,47.15931812,-1.59829606,,,1,
StopArea:AEPO,"Aéroport",,47.15685237,-1.59744147,,,1,
StopArea:AESP,"Aérospatiale",,47.16078742,-1.58797160,,,1,
StopArea:AFRA,"Anatole France",,47.22395633,-1.57196803,,,1,
StopArea:AGBE,"L'Angebert",,47.14055031,-1.45575630,,,1,
StopArea:AGVI,"Angevinière",,47.24518628,-1.61237909,,,1,
StopArea:AIBU,"Airbus",,47.15835888,-1.59183436,,,1,
StopArea:AIGU,"Aiguillon",,47.25449805,-1.49656446,,,1,
StopArea:ALDE,"Allende",,47.17543422,-1.62397063,,,1,
StopArea:ALNE,"Aulne",,47.27684302,-1.63893766,,,1,
StopArea:AMCA,"Armoricaine",,47.25860084,-1.64868107,,,1,
StopArea:AMER,"Américains",,47.23609762,-1.56824021,,,1,
StopArea:AMIT,"Amitié",,47.21639574,-1.71755988,,,1,
StopArea:AMOR,"Ar Mor",,47.22805437,-1.62368871,,,1,
StopArea:AMPE,"Ampère",,47.26074421,-1.55345021,,,1,
StopArea:ANGE,"Les Anges",,47.27477816,-1.63638868,,,1,
StopArea:ANTO,"Antons",,47.25783573,-1.62330199,,,1,
StopArea:APAV,"Apave",,47.22569669,-1.64767067,,,1,
StopArea:APER,"Ampère",,47.30211406,-1.50792536,,,1,
StopArea:APRE,"Ambroise Paré",,47.22908658,-1.60855912,,,1,
StopArea:AQUI,"Aquitaine",,47.20985556,-1.61516437,,,1,
StopArea:ARAG,"Arago",,47.30358086,-1.50498571,,,1,
