route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
27-0,HA15H101-00-ROSE,8323246-HA15H101-00-ROSE,"La Herdrie",0,993614,274155
27-0,HA15H101-00-ROSE,8323247-HA15H101-00-ROSE,"La Herdrie",0,993616,274155
27-0,HA15H101-00-ROSE,8323248-HA15H101-00-ROSE,"Pirmil",1,993616,274158
27-0,HA15H101-00-ROSE,8323249-HA15H101-00-ROSE,"Pirmil",1,993614,274158
27-0,HA15H101-00-ROSE,8323250-HA15H101-00-ROSE,"Pirmil",1,993617,274158
27-0,HA15H101-00-ROSE,8323251-HA15H101-00-ROSE,"La Herdrie",0,993616,274155
27-0,HA15H101-00-ROSE,8323252-HA15H101-00-ROSE,"La Herdrie",0,993617,274155
27-0,HA15H101-00-ROSE,8323253-HA15H101-00-ROSE,"La Herdrie",0,993614,274155
27-0,HA15H101-00-ROSE,8323254-HA15H101-00-ROSE,"La Herdrie",0,993616,274155
27-0,HA15H101-00-ROSE,8323255-HA15H101-00-ROSE,"La Herdrie",0,993615,274155
27-0,HA15H101-00-ROSE,8323256-HA15H101-00-ROSE,"Pirmil",1,993615,274158
27-0,HA15H101-00-ROSE,8323257-HA15H101-00-ROSE,"Pirmil",1,993616,274158
27-0,HA15H101-00-ROSE,8323258-HA15H101-00-ROSE,"Pirmil",1,993616,274158
27-0,HA15H101-00-ROSE,8323259-HA15H101-00-ROSE,"Pirmil",1,993615,274158
27-0,HA15H101-00-ROSE,8323260-HA15H101-00-ROSE,"Pirmil",1,993617,274158
27-0,HA15H101-00-ROSE,8323261-HA15H101-00-ROSE,"Pirmil",1,993614,274158
27-0,HA15H101-00-ROSE,8323262-HA15H101-00-ROSE,"Pirmil",1,993616,274158
27-0,HA15H101-00-ROSE,8323263-HA15H101-00-ROSE,"Pirmil",1,993616,274158
27-0,HA15H101-00-ROSE,8323264-HA15H101-00-ROSE,"Pirmil",1,993617,274158
27-0,HA15H101-00-ROSE,8323265-HA15H101-00-ROSE,"Pirmil",1,993617,274158
27-0,HA15H101-00-ROSE,8323266-HA15H101-00-ROSE,"Pirmil",1,993617,274158
27-0,HA15H101-00-ROSE,8323267-HA15H101-00-ROSE,"Pirmil",1,993616,274158
